GEOID,2020_eviction,2021_eviction,2022_eviction,2023_eviction,own_occ_rate,corp_own_rate,median_yearbuilt,median_price,median_prslpr,mortgage,median_totrooms,median_bathrooms,median_bedrooms,median_lotsize,median_intersf,median_flip_horizon,median_price_diff,median_price_diff_pch,median_lasqbin,mean_month_horizon,buyer_llc_ind_sum,buyer_bus_ind_sum,buyer_trst_ind_sum,buyer_bnk_ind_sum,buyer_gse_ind_sum,buyer_gov_ind_sum,seller_llc_ind_sum,seller_llp_ind_sum,seller_bus_ind_sum,seller_trst_ind_sum,seller_bnk_ind_sum,seller_gse_ind_sum,seller_gov_ind_sum,flip_ind_sum,buy_side_flip_sum,sell_side_flip_sum,restype_R1F_sum,sum_institutional_investor,sum_large_investor,sum_medium_investor,sum_non_investor,sum_small_investor,sum_non_small_llc_investor,sum_small_llc_investor,count_1.FAM.RES,count_2.FAM.RES,count_3.FAM.RES,count_CONDOMINIUM,count_RES.DEV.LAND,percent_owners,num_sales_transactions,years,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fam,hh,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,acs_year,mhi,mhi_me,o_mhi,o_mhi_me,r_mhi,r_mhi_me,units,units_me,own_units,rent_units,median_rent,median_rent_me,eviction_rate_2020,eviction_rate_2021,eviction_rate_2022,eviction_rate_2023
25025050700,4,6,19,25,0.3310344827586207,0.2241379310344827,1900.0,279950.0,95000.0,220000.0,11,3,5.0,1551.5,2185.0,866.0,13000.0,4.46,2200.5,11.0,16,7,27,16,13,0,18,0,11,58,31,13,1,66,70,66,43,52,12,36,375,29,471,33,43.0,48.0,262.0,98.0,1.0,35.1,504,2010,4504,2526,1978,1011,3265,228,1225,82,5,86,0,154,46,2906,924,1455,924,211,213,243,140,64,53,531,292,130,56,32,16,4,1,2007-11,57566,13985,83869,24767,54730,16891,1810,138.7879,294,1395,1804.0,35.15152,0.002867383512544803,0.004301075268817204,0.013620071684587814,0.017921146953405017
25025050901,3,16,17,7,0.3788049605411499,0.2187147688838782,1900.0,280000.0,90000.0,224000.0,11,3,5.0,1819.0,2358.0,952.5,13372.0,8.77,2350.5,13.0,9,1,14,23,5,1,11,0,11,36,41,2,1,48,48,48,63,40,9,21,348,17,406,29,63.0,100.0,184.0,36.0,0.0,33.3,435,2010,4165,2239,1926,998,2923,244,1215,70,3,86,0,50,37,2704,877,1324,877,209,198,202,126,68,74,447,285,94,34,21,9,4,0,2007-11,51038,15748,76875,17072,34871,9074,1555,109.697,353,1091,1677.0,93.33334,0.002749770852428964,0.01466544454628781,0.015582034830430797,0.006416131989000917
25025051000,10,18,33,59,0.4989473684210526,0.1778947368421052,1910.0,289950.0,0.0,228750.0,8,2,4.0,2500.0,1958.0,867.0,1280.0,0.83,1950.5,12.0,12,9,13,11,5,1,20,0,16,42,18,4,4,26,26,26,71,20,7,13,272,24,314,22,71.0,98.0,76.0,55.0,3.0,44.6,336,2010,4089,1981,2108,838,2700,551,2216,98,7,121,1,27,47,1572,988,1670,988,364,256,216,92,34,26,682,559,91,25,2,5,0,0,2007-11,42301,16062,66181,17262,31397,6546,2000,103.0303,641,1251,1489.0,224.2424,0.007993605115907274,0.014388489208633094,0.026378896882494004,0.04716227018385292
25025051101,7,16,17,14,0.5105762217359592,0.1692195477753464,1920.0,295000.0,25000.0,228937.0,7,2,3.0,3600.0,1895.0,821.0,2600.0,0.58,1900.5,11.0,10,5,10,14,4,0,28,0,6,48,32,7,1,42,44,42,117,28,8,11,415,27,467,22,117.0,107.0,75.0,151.0,1.0,42.3,489,2010,6093,3006,3087,1345,3999,749,3189,328,13,228,1,70,89,2175,1422,2190,1422,463,368,316,153,65,57,768,547,152,38,22,8,1,0,2007-11,53750,12382,78399,18022,45417,22499,2829,280.606,947,1730,1198.0,146.0606,0.004046242774566474,0.009248554913294798,0.009826589595375723,0.008092485549132947
25025051200,9,10,29,14,0.4038245219347581,0.1788526434195725,1900.0,261000.0,2500.0,210250.0,6,2,3.0,1139.0,1474.0,738.0,41000.0,19.0,1550.5,11.0,4,6,17,9,4,0,27,0,12,47,13,3,1,47,49,47,54,18,9,21,321,19,374,14,54.0,50.0,80.0,157.0,5.0,32.0,388,2010,2379,1257,1122,400,1756,223,1349,59,4,52,0,50,43,822,509,1023,509,182,146,102,40,23,16,514,364,123,17,9,1,0,0,2007-11,46890,5731,71493,15291,43508,5494,1594,116.9697,415,1036,1943.0,260.606,0.008687258687258687,0.009652509652509652,0.027992277992277992,0.013513513513513514
25025060101,2,1,0,2,0.4506578947368421,0.1486842105263157,1905.0,350000.0,0.0,264000.0,5,1,2.0,1077.0,1079.0,1141.0,49412.0,14.79,1050.5,13.0,9,3,8,5,1,0,53,0,16,45,11,1,0,47,52,47,50,8,12,12,633,34,684,15,50.0,30.0,27.0,583.0,0.0,29.6,699,2010,3216,1542,1674,301,2475,440,3115,18,4,14,1,1,19,44,591,1575,591,303,145,98,36,6,3,984,643,228,88,23,2,0,0,2007-11,82500,15375,92647,10876,71759,17687,1810,89.69697,742,857,2233.0,194.5455,0.002333722287047841,0.0011668611435239206,0.0,0.002333722287047841
25025060200,0,1,0,1,0.4634433962264151,0.1415094339622641,1905.0,350000.0,0.0,280000.0,5,2,2.0,1021.0,1044.0,1335.5,35000.0,10.725,1050.5,11.0,1,3,5,0,0,0,25,0,11,21,2,0,0,22,22,22,28,3,2,19,329,18,370,1,28.0,24.0,15.0,301.0,0.0,31.8,371,2010,1916,866,1050,204,1499,213,1884,3,0,7,0,0,9,13,352,927,352,173,90,61,19,8,1,575,330,175,63,6,1,0,0,2007-11,90577,13336,111016,35549,87750,21260,1031,56.36364,486,423,2589.0,129.0909,0.0,0.002364066193853428,0.0,0.002364066193853428
25025060301,0,2,5,3,0.4410150891632373,0.1556927297668038,1900.0,349500.0,0.0,265525.0,4,2,2.0,1035.5,1054.0,1051.0,30400.0,10.065,1050.5,15.0,9,1,6,4,2,0,73,0,10,58,6,2,0,52,54,52,60,10,7,19,637,29,691,11,60.0,27.0,17.0,587.0,1.0,26.9,702,2010,3076,1419,1657,268,2377,431,2969,20,1,28,0,8,22,28,542,1540,542,287,132,71,36,13,3,998,622,267,91,16,2,0,0,2007-11,89318,13295,104125,22517,73870,33377,1750,130.303,885,821,2457.0,620.0,0.0,0.00243605359317905,0.0060901339829476245,0.0036540803897685747
25025060400,6,3,4,7,0.4401794616151545,0.154037886340977,1900.0,340000.0,0.0,260000.0,4,2,2.0,1015.5,1034.5,1064.5,41000.0,14.31,1050.5,12.0,18,10,16,12,4,0,93,0,42,79,26,3,0,112,115,112,189,25,15,25,1012,49,1099,27,189.0,43.0,40.0,838.0,0.0,24.0,1126,2010,4904,2193,2711,425,3626,853,4626,50,5,85,2,2,44,90,827,2378,827,456,185,120,49,12,5,1551,992,402,115,34,5,3,0,2007-11,78220,15071,109125,16311,48250,15664,2534,157.5758,990,1365,2405.0,327.8788,0.004395604395604396,0.002197802197802198,0.0029304029304029304,0.005128205128205128
25025060501,1,5,8,2,0.3773905652358691,0.1767955801104972,1905.0,340000.0,0.0,266000.0,4,2,2.0,978.0,1001.0,1101.0,38250.0,13.33,1050.5,14.0,23,8,27,6,4,0,124,0,26,150,17,3,0,90,94,90,88,18,17,32,943,49,1033,26,88.0,42.0,33.0,842.0,1.0,24.9,1059,2010,3571,1765,1806,305,3002,264,3343,22,2,99,1,5,27,72,611,1831,611,330,155,86,27,7,6,1220,722,354,126,18,0,0,0,2007-11,91630,14609,124718,17415,78973,10056,2160,129.0909,1142,844,1712.0,120.6061,0.001184834123222749,0.005924170616113744,0.009478672985781991,0.002369668246445498
